name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_county,gnis_latitude,gnis_longitude,latitude,longitude,state_full,state_latitude,state_longitude
HERNDON,HERNDON,MO,Saline,1873.0,1907.0,True,5.0,26225,True,34.0,True,HERNDON,MO,719400.0,Populated Place,Saline,39.0041865,-93.2702077,39.0041865,-93.2702077,Missouri,38.29739780113773,-92.40621321592816
HEST,HEST,MO,Douglas,1915.0,1925.0,True,3.0,26276,True,10.0,True,HEST,MO,738446.0,Populated Place,Douglas,36.8958892,-92.6812792,36.8958892,-92.6812792,Missouri,38.29739780113773,-92.40621321592816
HESTER,HESTER,MO,Marion,1850.0,1906.0,True,4.0,26278,True,56.0,True,HESTER,MO,740926.0,Populated Place,Marion,39.9108778,-91.6268255,39.9108778,-91.6268255,Missouri,38.29739780113773,-92.40621321592816
HIATT,HIATT,MO,Webster,1899.0,1905.0,True,5.0,26310,True,6.0,True,HIATT,MO,759978.0,Post Office,Webster,37.3122707,-92.7043378,37.3122707,-92.7043378,Missouri,38.29739780113773,-92.40621321592816
HICKMAN MILLS,HICKMAN MILLS,MO,Jackson,1868.0,1956.0,True,1.0,26340,True,88.0,True,HICKMAN MILLS,MO,2477764.0,Post Office,Jackson,38.921652,-94.5103736,38.921652,-94.5103736,Missouri,38.29739780113773,-92.40621321592816
HICKORY,HICKORY,MO,Grundy,1878.0,1942.0,True,2.0,26345,True,64.0,True,HICKORY,MO,740928.0,Populated Place,Grundy,39.9980685,-93.6693848,39.9980685,-93.6693848,Missouri,38.29739780113773,-92.40621321592816
HICKORY BARREN,HICKORY BARREN,MO,Greene,1846.0,1906.0,True,4.0,26354,True,60.0,True,HICKORY BARREN,MO,719431.0,Populated Place,Greene,37.3478227,-93.221298,37.3478227,-93.221298,Missouri,38.29739780113773,-92.40621321592816
HICKORY CREEK,HICKORY CREEK,MO,Audrain,1840.0,1873.0,True,6.0,26357,True,33.0,True,HICKORY CREEK,MO,738786.0,Populated Place,Audrain,39.1690045,-91.5014855,39.1690045,-91.5014855,Missouri,38.29739780113773,-92.40621321592816
HICKORY GROVE,HICKORY GROVE,MO,Warren/St. Charles,1823.0,1854.0,True,4.0,26366,True,31.0,True,HICKORY GROVE,MO,767501.0,Civil,Warren,38.7829769,-91.0182819,38.7829769,-91.0182819,Missouri,38.29739780113773,-92.40621321592816
HICKORY HILL,HICKORY HILL,MO,Cole,1839.0,1912.0,False,3.0,26377,True,73.0,True,HICKORY HILL,MO,719479.0,Populated Place,Cole,38.4005879,-92.3596274,38.4005879,-92.3596274,Missouri,38.29739780113773,-92.40621321592816
