name,orig_name,state,orig_county,established,discontinued,continuous,stamp_index,id,coordinates,duration,gnis_match,gnis_name,gnis_county,gnis_state,gnis_feature_id,gnis_feature_class,gnis_orig_name,gnis_orig_county,gnis_latitude,gnis_longitude,gnis_elev_in_m,gnis_dist,latitude,longitude,state_full,state_latitude,state_longitude
GRANBY CITY,GRANBY CITY,MO,Newton,1871.0,1875.0,True,5.0,23351,True,4.0,True,GRANBY CITY,NEWTON,MO,740060.0,Populated Place,Granby City,Newton,36.9417317,-94.2696618,314.0,1.0,36.9417317,-94.2696618,Missouri,38.29739780113773,-92.40621321592816
POHOCCO,POHOCCO,NE,Saunders,1869.0,1873.0,True,8.0,154202,True,4.0,True,POHOCCO,SAUNDERS,NE,832290.0,Cemetery,Pohocco Cemetery,Saunders,41.42288,-96.55816,412.0,1.0,41.42288,-96.55816,Nebraska,41.26900677053825,-98.51318587346552
BACCHUS,BACCHUS,UT,Salt Lake,1915.0,1954.0,True,2.0,125842,True,39.0,True,BACCHUS,SALT LAKE,UT,1437494.0,Populated Place,Bacchus,Salt Lake,40.663,-112.0961,1507.0,1.0,40.663,-112.0961,Utah,39.75664437352246,-111.81141229314422
MINERVA,MINERVA,LA,Terrebonne,1894.0,1943.0,False,2.0,37714,True,49.0,True,MINERVA,TERREBONNE,LA,555332.0,Populated Place,Minerva,Terrebonne,29.709099,-90.816204,3.0,1.0,29.709099,-90.816204,Louisiana,31.25885839387474,-91.9906807220234
CITRUS,CITRUS,CA,Los Angeles,1878.0,1887.0,True,6.0,131159,True,9.0,True,CITRUS,LOS ANGELES,CA,1867006.0,Populated Place,Citrus,Los Angeles,34.11501,-117.8917,178.0,1.0,34.11501,-117.8917,California,37.39580678039404,-120.4122934166266
HOLLINS COLLEGE,HOLLINS COLLEGE,VA,Roanoke,1934.0,1954.0,True,1.0,89356,True,20.0,True,HOLLINS COLLEGE,ROANOKE,VA,2766376.0,Post Office,Hollins College Post Office,Roanoke,37.35526,-79.94238,321.0,1.0,37.35526,-79.94238,Virginia,37.59297044544598,-78.73498313891332
GRAVES,GRAVES,KS,Cloud,1882.0,1904.0,True,5.0,139579,True,22.0,True,GRAVES,CLOUD,KS,482102.0,Locale,Graves (historical),Cloud,39.49611,-97.72254,440.0,1.0,39.49611,-97.72254,Kansas,38.52652031092821,-97.41166347965247
CHILSON,CHILSON,NY,Essex,1892.0,1966.0,True,1.0,10658,True,74.0,True,CHILSON,ESSEX,NY,946580.0,Populated Place,Chilson,Essex,43.8772808,-73.5287342,305.0,1.0,43.8772808,-73.5287342,New York,42.62246135933227,-75.57093866626391
CAMP SAN SABA,CAMP SAN SABA,TX,Mcculloch,1876.0,1976.0,True,1.0,129592,True,100.0,True,CAMP SAN SABA,MCCULLOCH,TX,1353670.0,Populated Place,Camp San Saba,McCulloch,30.99545,-99.25505,478.0,1.0,30.99545,-99.25505,Texas,31.49183703480589,-97.29755489625168
SMITHBORO,SMITHBORO(UGH),GA,Jasper,1879.0,1902.0,True,5.0,53293,True,23.0,True,SMITHBORO,JASPER,GA,333072.0,Populated Place,Smithboro,Jasper,33.3054066,-83.5837809,160.0,1.0,33.3054066,-83.5837809,Georgia,33.12832351739887,-83.74456450104394
ALICE,ALICE,NY,Steuben,1902.0,1903.0,True,7.0,692,True,1.0,True,ALICE,STEUBEN,NY,972158.0,Populated Place,Alice,Steuben,42.0209028,-77.613878,569.0,1.0,42.0209028,-77.613878,New York,42.62246135933227,-75.57093866626391
